query_no,query,cardinality_predict,cardinality_true,latency_ms,generated_spn_calls,latency_generated_code
10,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mi_idx.info_type_id=100 AND t.production_year<=1995.0 AND t.kind_id=1 AND mc.company_type_id=2 AND t.phonetic_code>=16928 AND mi.info_type_id=67;",875.8031461107819,1797,28.565462678670883,0,0.0
11,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.phonetic_code<=11318 AND mi_idx.info_type_id=99 AND mi.info_type_id=17 AND mc.company_type_id=1 AND t.kind_id=1 AND t.production_year>=2003.0;",594354.5618986916,506397,28.78902107477188,0,0.0
12,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mi_idx.info_type_id=100 AND mi.info_type_id=7 AND t.kind_id=1;",2536546.158005197,2919068,23.356273770332336,0,0.0
13,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.production_year>=1990.0 AND mc.company_type_id=1 AND t.kind_id=1 AND mi_idx.info_type_id=101 AND mi.info_type_id=61;",65806.81940913931,37563,28.159726411104202,0,0.0
14,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mi_idx.info_type_id=101 AND mi.info_type_id=16 AND t.kind_id=1;",6763707.78335236,8123586,22.08796516060829,0,0.0
15,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.imdb_index=2 AND mi.info_type_id=107 AND t.kind_id=1 AND mc.company_type_id=1;",95869.96851079765,188668,22.380974143743515,0,0.0
16,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.phonetic_code>=20941 AND mc.company_type_id=2 AND t.kind_id=1 AND t.production_year<=2006.0 AND mi_idx.info_type_id=100;",167833.04447406874,163003,28.80563586950302,0,0.0
17,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.phonetic_code<=2680 AND t.production_year=1972.0 AND mi.info_type_id=5 AND mc.company_type_id=1;",7848.592806649057,13146,20.80734819173813,0,0.0
18,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.kind_id=1 AND mi_idx.info_type_id=99 AND mc.company_type_id=1 AND mi.info_type_id=107;",2152850.704394747,2500526,17.659753561019897,0,0.0
19,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mi.info_type_id=110 AND mc.company_type_id=1 AND mi_idx.info_type_id=101 AND t.production_year<=2002.0 AND t.phonetic_code<=18941;",241832.42981283434,272419,24.6148519217968,0,0.0
20,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mi.info_type_id=104 AND t.production_year>=1962.0 AND t.phonetic_code=11873 AND t.kind_id=1;",2.6034244335139967,57,25.552712380886078,0,0.0
21,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mi_idx.info_type_id=100 AND t.phonetic_code>=16608 AND t.kind_id=1 AND mc.company_type_id=1 AND t.production_year=2008.0;",349766.51763276284,409330,27.877338230609894,0,0.0
22,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mi_idx.info_type_id=100 AND mc.company_type_id=2 AND t.phonetic_code<=1196 AND t.production_year>=2009.0 AND mi.info_type_id=105;",1246.9767614572972,1785,23.74352142214775,0,0.0
23,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mc.company_type_id=1 AND t.kind_id=1 AND t.phonetic_code<=3820 AND mi.info_type_id=17 AND t.production_year>=2001.0 AND mi_idx.info_type_id=100;",337111.48114910605,270205,30.137192457914352,0,0.0
24,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mc.company_type_id=1 AND t.production_year<=2012.0 AND t.phonetic_code=17755 AND mi.info_type_id=15 AND mi_idx.info_type_id=99 AND t.kind_id=1;",2.5390070000000007,3153,34.58133712410927,0,0.0
25,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mi_idx.info_type_id=100 AND mc.company_type_id=2 AND t.series_years<=1335 AND t.phonetic_code=821 AND t.kind_id=2 AND t.production_year>=2003.0;",2.5390070000000007,1640,31.71462193131447,0,0.0
26,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mi.info_type_id=5 AND mc.company_type_id=1 AND mi_idx.info_type_id=100;",3096568.7775747385,3881432,18.170394003391266,0,0.0
27,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.production_year>=2001.0 AND t.phonetic_code>=16556 AND mi_idx.info_type_id=100;",110246.99034933075,6525723,18.170859664678574,0,0.0
28,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mc.company_type_id=2 AND t.kind_id=1 AND mi.info_type_id=5 AND t.production_year<=2001.0 AND mi_idx.info_type_id=100 AND t.phonetic_code<=9922;",192654.63596285167,210356,29.0672704577446,0,0.0
29,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.production_year<=1991.0 AND t.phonetic_code=18363 AND mi.info_type_id=13 AND mi_idx.info_type_id=99;",4.946425897892077,21645,22.862430661916733,0,0.0
30,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mc.company_type_id=2 AND t.production_year>=2002.0 AND mi.info_type_id=107 AND t.kind_id=1;",819937.3654977547,1119479,25.573313236236572,0,0.0
31,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.kind_id=1 AND mc.company_type_id=1 AND t.phonetic_code=3988;",2.5390070000000007,13143,22.687889635562897,0,0.0
32,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mi.info_type_id=15 AND mc.company_type_id=1 AND t.production_year<=1986.0 AND t.phonetic_code=17362 AND t.kind_id=1;",2.5390070000000007,4032,28.938166797161102,0,0.0
33,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.phonetic_code>=14715 AND mi_idx.info_type_id=100 AND t.production_year=2003.0;",8990.394645398765,550115,18.837518990039825,0,0.0
34,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.phonetic_code=14392 AND t.production_year<=1984.0 AND mi.info_type_id=16 AND mi_idx.info_type_id=100 AND mc.company_type_id=1;",2.5390070000000007,624,27.211301028728485,0,0.0
35,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mc.company_type_id=1 AND t.production_year=1996.0 AND mi.info_type_id=7 AND mi_idx.info_type_id=100 AND t.phonetic_code<=16805;",37128.183797834194,30464,24.482451379299164,0,0.0
36,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.phonetic_code=17680 AND mi_idx.info_type_id=101 AND mc.company_type_id=2 AND t.kind_id=1 AND t.production_year=2011.0;",28.768333971560565,568,27.438875287771225,0,0.0
37,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mi.info_type_id=1 AND t.production_year<=2007.0 AND t.phonetic_code>=12016 AND t.kind_id=1;",757466.0947268863,917942,25.127671658992767,0,0.0
38,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.phonetic_code=1911 AND mi_idx.info_type_id=101 AND t.kind_id=1;",821.5139880061147,1809,24.591457098722458,0,0.0
39,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.production_year=2006.0 AND mi.info_type_id=3 AND t.phonetic_code>=11545 AND mc.company_type_id=2 AND t.kind_id=1 AND mi_idx.info_type_id=99;",12247.659587944212,10907,29.766976833343506,0,0.0
40,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mi_idx.info_type_id=100 AND t.production_year>=2007.0 AND t.series_years=1374 AND t.kind_id=2;",1431.7528549527392,70768,27.057666331529617,0,0.0
41,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.production_year<=1980.0 AND mc.company_type_id=2 AND mi_idx.info_type_id=99;",2849454.9907487296,2587182,21.660543978214264,0,0.0
42,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mc.company_type_id=1 AND mi.info_type_id=15 AND t.kind_id=1 AND mi_idx.info_type_id=99 AND t.phonetic_code=2557;",2.5390070000000007,2027,28.096716850996017,0,0.0
43,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.phonetic_code>=5436 AND mi.info_type_id=6 AND mc.company_type_id=1 AND mi_idx.info_type_id=101;",426015.5381224652,464136,18.673192709684372,0,0.0
44,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mi.info_type_id=5 AND t.phonetic_code<=12452 AND t.production_year=2008.0;",414020.01068067696,438683,20.116422325372696,0,0.0
45,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mi.info_type_id=18 AND t.kind_id=1 AND t.phonetic_code=5953;",54.04469593360984,1176,20.445331931114197,0,0.0
46,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.kind_id=1 AND mi.info_type_id=16 AND mc.company_type_id=1 AND t.production_year<=1999.0 AND mi_idx.info_type_id=100 AND t.phonetic_code=8693;",2.5390070000000007,176,37.11964935064316,0,0.0
47,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mi_idx.info_type_id=101 AND t.phonetic_code<=1149 AND t.series_years=1341 AND mi.info_type_id=15;",246.52264594610597,1525,19.684895873069763,0,0.0
48,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.series_years<=527 AND mc.company_type_id=1 AND mi_idx.info_type_id=101 AND t.production_year>=1966.0 AND t.kind_id=2 AND mi.info_type_id=66;",8.385923498309221,42,29.487766325473785,0,0.0
49,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.production_year=2001.0 AND t.kind_id=1 AND mc.company_type_id=1 AND mi_idx.info_type_id=100;",1294540.0664010006,1248132,27.986295521259308,0,0.0
50,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mi_idx.info_type_id=99 AND t.phonetic_code>=1206 AND mi.info_type_id=107 AND t.kind_id=1 AND mc.company_type_id=1;",1985847.009264337,2290592,24.687238037586212,0,0.0
51,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mc.company_type_id=1 AND mi.info_type_id=16 AND mi_idx.info_type_id=101 AND t.phonetic_code<=3304 AND t.production_year=1998.0 AND t.kind_id=1;",28189.881359861985,28070,29.795914888381958,0,0.0
52,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.production_year>=1993.0 AND t.kind_id=1 AND t.phonetic_code=2440 AND mi.info_type_id=18;",2.5390070000000007,204,28.7129245698452,0,0.0
53,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mi.info_type_id=94 AND mc.company_type_id=2 AND t.kind_id=1;",520543.8214460663,537103,13.620380312204361,0,0.0
54,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.production_year>=2008.0 AND t.episode_nr>=4.0 AND t.season_nr<=1.0 AND t.kind_id=7 AND t.phonetic_code<=1107 AND mi.info_type_id=16;",18155.152379896695,18660,31.554874032735825,0,0.0
55,"SELECT COUNT(*) FROM movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND mi_idx.info_type_id=99 AND mi.info_type_id=1 AND mk.keyword_id=58207 AND t.kind_id=1 AND t.production_year<=1965.0;",3.0206125362004235,1,31.506717205047607,0,0.0
56,"SELECT COUNT(*) FROM movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND mi_idx.info_type_id=112 AND t.kind_id=1 AND t.phonetic_code=758 AND mi.info_type_id=15 AND mk.keyword_id=9849;",2.033576721059152,13,24.736713618040085,0,0.0
57,"SELECT COUNT(*) FROM movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=1 AND mi_idx.info_type_id=100 AND t.production_year>=2012.0 AND mi.info_type_id=7;",240287.84151092777,261428,25.94262734055519,0,0.0
58,"SELECT COUNT(*) FROM movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND t.phonetic_code=16015 AND t.kind_id=1 AND mi.info_type_id=6 AND t.production_year<=2001.0 AND mi_idx.info_type_id=99 AND mk.keyword_id=335;",1.5885360333273826,3,30.30027076601982,0,0.0
59,"SELECT COUNT(*) FROM movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=1 AND t.production_year=1996.0 AND mi_idx.info_type_id=101 AND mk.keyword_id=5408 AND mi.info_type_id=16 AND t.phonetic_code<=16547;",21.54138323368201,61,25.91642737388611,0,0.0
60,"SELECT COUNT(*) FROM movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND t.production_year=2000.0 AND mi.info_type_id=98 AND t.kind_id=1 AND mk.keyword_id=27560 AND mi_idx.info_type_id=100;",1.136593954260426,1,24.586427956819534,0,0.0
61,"SELECT COUNT(*) FROM movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND mi_idx.info_type_id=100 AND t.phonetic_code=8134 AND mk.keyword_id=16144;",50.714252,55,17.90686696767807,0,0.0
62,"SELECT COUNT(*) FROM movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND t.phonetic_code>=12401 AND mi_idx.info_type_id=99 AND t.kind_id=1 AND mk.keyword_id=5148 AND mi.info_type_id=16 AND t.production_year<=2006.0;",701.3204078986641,1275,25.60046687722206,0,0.0
63,"SELECT COUNT(*) FROM movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=1 AND t.phonetic_code>=9913 AND t.production_year=1976.0 AND mi.info_type_id=13 AND mk.keyword_id=29106 AND mi_idx.info_type_id=100;",0.15886212917654305,42,25.78984946012497,0,0.0
64,"SELECT COUNT(*) FROM movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=1 AND t.phonetic_code<=7413 AND t.production_year=2000.0 AND mi_idx.info_type_id=101;",1629327.733912205,2598743,23.106232285499573,0,0.0
65,"SELECT COUNT(*) FROM movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND mk.keyword_id=70 AND t.production_year>=1965.0 AND t.phonetic_code>=6945;",387441.96591179003,461584,16.144100576639175,0,0.0
66,"SELECT COUNT(*) FROM movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=1 AND mi.info_type_id=7 AND mi_idx.info_type_id=99;",10076886.501919232,11122353,21.62884548306465,0,0.0
67,"SELECT COUNT(*) FROM movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=1 AND t.production_year>=2001.0 AND mi.info_type_id=8;",4932327.019891303,3968450,21.236397325992584,0,0.0
68,"SELECT COUNT(*) FROM movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=1 AND t.phonetic_code=1998 AND mi_idx.info_type_id=100;",50.714251999999995,38669,22.85410836338997,0,0.0
69,"SELECT COUNT(*) FROM movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND t.production_year>=1999.0 AND t.phonetic_code>=3735 AND mk.keyword_id=1684 AND t.kind_id=3 AND mi.info_type_id=3;",171.72361629905598,336,24.638507515192032,0,0.0
70,"SELECT COUNT(*) FROM movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND mk.keyword_id=110 AND t.phonetic_code<=1598 AND mi.info_type_id=5 AND t.kind_id=1;",9296.76123732861,10909,21.886534988880157,0,0.0
71,"SELECT COUNT(*) FROM movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND t.phonetic_code>=17338 AND mk.keyword_id=3076 AND t.production_year>=2009.0 AND t.kind_id=1 AND mi_idx.info_type_id=101;",72.48834152445596,477,24.10149574279785,0,0.0
72,"SELECT COUNT(*) FROM movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND t.phonetic_code<=4049 AND mk.keyword_id=6239 AND mi_idx.info_type_id=101;",13900.730370802126,9374,12.657184153795242,0,0.0
73,"SELECT COUNT(*) FROM movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND t.production_year<=1984.0 AND mk.keyword_id=36167 AND mi.info_type_id=5;",264.54542712508015,132,18.55650544166565,0,0.0
74,"SELECT COUNT(*) FROM movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND mi_idx.info_type_id=99 AND t.production_year=2004.0 AND mi.info_type_id=7;",449974.0964032952,372329,19.138257950544357,0,0.0
75,"SELECT COUNT(*) FROM movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND t.production_year>=1933.0 AND t.kind_id=1 AND mi_idx.info_type_id=101;",143627516.75716466,204393225,22.05076813697815,0,0.0
76,"SELECT COUNT(*) FROM movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND t.phonetic_code<=20487 AND t.production_year=1966.0 AND mi_idx.info_type_id=99 AND mk.keyword_id=9521 AND t.kind_id=1;",2.0095030665549674,85,24.136360734701157,0,0.0
77,"SELECT COUNT(*) FROM movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND t.episode_nr=3.0 AND mk.keyword_id=1962 AND t.season_nr>=3.0 AND t.phonetic_code<=4442 AND mi.info_type_id=15;",2.8870990000000005,159,25.15171840786934,0,0.0
